,title,price,link,shop_url,location
0,3 Sizes Crochet Dog pullover Sweater in ARAN Yarn **PDF Instant Download** Pattern ONLY,3.75,https://www.etsy.com/listing/846835012/3-sizes-crochet-dog-pullover-sweater-in?click_key=705fced70f4836f135bea27e7fa84daf7a50c589%3A846835012&click_sum=3338d2d3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-1&pop=1,https://www.etsy.com/shop/OpulentEssenceStore?ref=l2-about-shopname,"Kelty, United Kingdom"
1,Icelandic Dog Sweater - lopapeysa - wool,54.57,https://www.etsy.com/listing/1061069109/icelandic-dog-sweater-lopapeysa-wool?click_key=a28b0b38bab702b8f9ecb9d77a3904b4dc9b84ae%3A1061069109&click_sum=e26ea1fc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-2&frs=1&sts=1,https://www.etsy.com/shop/Anganora?ref=l2-about-shopname,"Reykjavik, Iceland"
2,PDF Instant Digital Download 4 dog coats knitting pattern double knit and chunky (2505),1.93,https://www.etsy.com/listing/996932212/pdf-instant-digital-download-4-dog-coats?click_key=0b5c23bf3187ef00854bf521f632d1cfd7a0e4b2%3A996932212&click_sum=838faf4d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-3&pop=1&sts=1,https://www.etsy.com/shop/PatternsFromDaisylin?ref=l2-about-shopname,"Wales, United Kingdom"
3,"Dog sweater pattern, Small and Medium dog sweater pattern, Pet stripe sweater crochet pattern, Cat crochet pattern, Sphynx cat sweater.",3.06,https://www.etsy.com/listing/1086884296/dog-sweater-pattern-small-and-medium-dog?click_key=9e74eeb5c9e3948c5b92392a489c378eb4a721fb%3A1086884296&click_sum=e0174e41&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-4&pro=1&sts=1,https://www.etsy.com/shop/CuteOutfitForDogs?ref=l2-about-shopname,Latvia
4,Maglioncino 100% cashmere “Loro Piana”  per cani di piccola taglia handmade made in Italy cane piccolo small dog teacup jumper dog sweater,52.62,https://www.etsy.com/listing/809378141/maglioncino-100-cashmere-loro-piana-per?click_key=13abb341339f7eca21966a1d2f48f3065e75e90e%3A809378141&click_sum=38b12a31&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-5,https://www.etsy.com/shop/bebamazzanti66?ref=l2-about-shopname,"City of London, United Kingdom"
5,"Cable Knit Dog Overall, Knitted Dog Sweater, Designer Dog clothes, Pet Clothing, Dog Top and Bottom, Gray Dog Pullover, Turtleneck Sweater",32.40,https://www.etsy.com/listing/209705661/cable-knit-dog-overall-knitted-dog?click_key=45f35f6d3476d6eff6e7859f342a5f77620da45f%3A209705661&click_sum=899eeae9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-6&pro=1&sts=1,https://www.etsy.com/shop/BubaDog?ref=l2-about-shopname,Europe
6,"knitting pattern, dogs coat, 3 dog coats in 3 sizes each, pdf, digital download, instant download",1.38,https://www.etsy.com/listing/544363757/knitting-pattern-dogs-coat-3-dog-coats?click_key=c139de949d493cdb863f0e6cbc9204a7c7daec87%3A544363757&click_sum=83cad02d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-7&bes=1,https://www.etsy.com/shop/Peachdesigncreate?ref=l2-about-shopname,"Stoke-on-Trent, United Kingdom"
7,Easy Dog Sweater Crochet Pattern | Pink Grey Dog Jumper | Beginner | Instant Digital Download PDF Pattern,4.51,https://www.etsy.com/listing/1108800798/easy-dog-sweater-crochet-pattern-pink?click_key=b79c50b3e355e53a6b32fcdd0cd9a9a35582e230%3A1108800798&click_sum=46ac0a53&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-8&bes=1,https://www.etsy.com/shop/CrochetByKirby?ref=l2-about-shopname,"Leeds, United Kingdom"
8,PDF Crochet Pattern - Minnie’s turtleneck dog sweater- small dog / puppy clothes,3.13,https://www.etsy.com/listing/939768981/pdf-crochet-pattern-minnies-turtleneck?click_key=7490a52b6637c2cfa8638e6a22df0b25d7d8e701%3A939768981&click_sum=0584cc3d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_grid-121331-2-1&sts=1,https://www.etsy.com/shop/MemoryLaneCrochetPDF?ref=l2-about-shopname,"Swansea, United Kingdom"
9,Christmas wool dog sweater - wool dog sweater- Christmas dog jumper- small dog jumper - handknitted dog sweater- small dog sweater,48.27,https://www.etsy.com/listing/902570176/christmas-wool-dog-sweater-wool-dog?click_key=34db6f853431ac6a9ae6dc5ecea9c51b8d1c5419%3A902570176&click_sum=59067f7d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_grid-121331-2-2,https://www.etsy.com/shop/Pupperito?ref=l2-about-shopname,"Copenhagen, Denmark"
10,"44 Dog Clothes Patterns for All Sizes  - Create Individual Pattern for Your Pet - Shirt, Dress, Coat, Polo, Jacket, Overall Sewing Patterns",14.39,https://www.etsy.com/listing/973764441/44-dog-clothes-patterns-for-all-sizes?click_key=94da61ba4f6aecd343a4a79ff017a7fd5e966be4%3A973764441&click_sum=4a4459fe&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_grid-121331-2-3&pro=1,https://www.etsy.com/shop/PatternsByLara?ref=l2-about-shopname,Ukraine
11,"Dinosaur knitted jumper for small dogs, dinosaur sweater for dog, dachshund dinosaur sweater for dogs",30.00,https://www.etsy.com/listing/658472502/dinosaur-knitted-jumper-for-small-dogs?click_key=f3fe26363e288f8fb8e3abd0184dc9422ed7804f%3A658472502&click_sum=c17c0696&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_grid-121331-2-4&sts=1,https://www.etsy.com/shop/dachshundknits?ref=l2-about-shopname,"Kyiv, Ukraine"
12,Nonbinari flag knit dog sweater Rainbow striped cat cardigan Pride pet Pride gifts for pets,44.00,https://www.etsy.com/listing/1248950621/nonbinari-flag-knit-dog-sweater-rainbow?click_key=4d3926e627cbfd26cd21080337510c23daeaaf07%3A1248950621&click_sum=70332fdd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_grid-121331-2-5&sts=1,https://www.etsy.com/shop/PrettyPetSweater?ref=l2-about-shopname,Ukraine
13,3 Sizes Crochet Dog pullover Sweater in ARAN Yarn **PDF Instant Download** Pattern ONLY,3.75,https://www.etsy.com/listing/846835012/3-sizes-crochet-dog-pullover-sweater-in?click_key=6545db62a72b242612e6f22d9b744eb677cfcbe1%3A846835012&click_sum=d080b708&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-1&pop=1,https://www.etsy.com/shop/OpulentEssenceStore?ref=l2-about-shopname,"Kelty, United Kingdom"
14,PDF Instant Digital Download 4 dog coats knitting pattern double knit and chunky (2505),1.93,https://www.etsy.com/listing/996932212/pdf-instant-digital-download-4-dog-coats?click_key=f02fcfe2aa06016fb15a6cf76d6b3223c0a733d8%3A996932212&click_sum=5e5edb84&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-2&pop=1&sts=1,https://www.etsy.com/shop/PatternsFromDaisylin?ref=l2-about-shopname,"Wales, United Kingdom"
15,"Dog sweater pattern, Small and Medium dog sweater pattern, Pet stripe sweater crochet pattern, Cat crochet pattern, Sphynx cat sweater.",3.06,https://www.etsy.com/listing/1086884296/dog-sweater-pattern-small-and-medium-dog?click_key=330c04fbde3dcb7272ceebbea266c9be28b0811c%3A1086884296&click_sum=96cc729d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-3&pro=1&sts=1,https://www.etsy.com/shop/CuteOutfitForDogs?ref=l2-about-shopname,Latvia
16,Icelandic Dog Sweater - lopapeysa - wool,54.57,https://www.etsy.com/listing/1061069109/icelandic-dog-sweater-lopapeysa-wool?click_key=632dbd2bf72bdfdfce1970ddc9f3e1ce573f8c5e%3A1061069109&click_sum=660fc0fd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=dog+sweater&ref=search_in_grid-1-4&frs=1&sts=1,https://www.etsy.com/shop/Anganora?ref=l2-about-shopname,"Reykjavik, Iceland"
