"projectID";"topic";"title"
"101063393";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101062468";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101066082";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101059639";"HORIZON-CL6-2021-CIRCBIO-01-04";"Increasing the circularity in textiles, plastics and/or electronics value chains"
"101069505";"HORIZON-CL5-2021-D2-01-05";"Manufacturing technology development for solid-state batteries (SSB, Generations 4a - 4b batteries) (Batteries Partnership)"
"101062082";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072632";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101046651";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101062518";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101079151";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101065263";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101060452";"HORIZON-CL6-2021-CLIMATE-01-03";"Key oceanic and polar processes driving regional & global climate change"
"101047131";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101079299";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101070740";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03";"Emerging Technologies in Cell and Gene therapy"
"101063363";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101065838";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101058784";"HORIZON-CL4-2021-RESILIENCE-01-12";"Safe- and sustainable-by-design metallic coatings and engineered surfaces (RIA)"
"101075626";"HORIZON-CL5-2021-D3-02-04";"Novel tandem, high efficiency Photovoltaic technologies targeting low cost production with earth abundant materials"
"101063193";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
